rr:tableName,uri,dcterms:source,skos:prefLabel,skos:definition
material-media,http://rs.gbif.org/data-packages/dwc-dp/material-media,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-media.json,MaterialMedia,A link establishing a dwc:MaterialEntity as content in a Media entity.
material-protocol,http://rs.gbif.org/data-packages/dwc-dp/material-protocol,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-protocol.json,MaterialProtocol,A link establishing a Protocol used in the treatment of a dwc:MaterialEntity.
material,http://rs.gbif.org/data-packages/dwc-dp/material,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material.json,Material,"An entity that can be identified, exist for some period of time, and consist in whole or in part of physical matter while it exists."
media-agent-role,http://rs.gbif.org/data-packages/dwc-dp/media-agent-role,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media-agent-role.json,MediaAgentRole,A role filled by an Agent with respect to a Media entity.
media-assertion,http://rs.gbif.org/data-packages/dwc-dp/media-assertion,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media-assertion.json,MediaAssertion,An Assertion made by an Agent about a Media entity.
media-identifier,http://rs.gbif.org/data-packages/dwc-dp/media-identifier,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media-identifier.json,MediaIdentifier,An identifier for a Media entity.
media,http://rs.gbif.org/data-packages/dwc-dp/media,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media.json,Media,"Media (dcmi:Sounds, dcmi:StillImages, dcmi:MovingImages or dcmi:Text) with other entities as content."
occurrence-agent-role,http://rs.gbif.org/data-packages/dwc-dp/occurrence-agent-role,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-agent-role.json,OccurrenceAgentRole,A role filled by an Agent with respect to a dwc:Occurrence.
occurrence-assertion,http://rs.gbif.org/data-packages/dwc-dp/occurrence-assertion,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-assertion.json,OccurrenceAssertion,An Assertion made by an Agent about a dwc:Occurrence.
occurrence-citation,http://rs.gbif.org/data-packages/dwc-dp/occurrence-citation,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-citation.json,OccurrenceCitation,A citation of a dwc:Occurrence in a bibliographic reference.
occurrence-identifier,http://rs.gbif.org/data-packages/dwc-dp/occurrence-identifier,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-identifier.json,OccurrenceIdentifier,An identifier for a dwc:Occurrence.
occurrence-media,http://rs.gbif.org/data-packages/dwc-dp/occurrence-media,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-media.json,OccurrenceMedia,A link establishing a dwc:Occurrence as content in a Media entity.
occurrence-protocol,http://rs.gbif.org/data-packages/dwc-dp/occurrence-protocol,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-protocol.json,OccurrenceProtocol,A link establishing a Protocol used in the determination of a dwc:Occurrence.
